symbol,name,exchange,currency
BOAC.UN,Bluescape Opportunities Acquisition Corp.,New York Stock Exchange,
CRHC.UN,Cohn Robbins Holdings Corp.,New York Stock Exchange,
FPAC.UN,Far Peak Acquisition Corporation,New York Stock Exchange,
BSN.UN,Broadstone Acquisition Corp.,New York Stock Exchange,
AGAC.UN,African Gold Acquisition Corporation,New York Stock Exchange,
ANAC.UN,Arctos NorthStar Acquisition Corp.,New York Stock Exchange,
FUSE.UN,Fusion Acquisition Corp.,New York Stock Exchange,
FRXB.UN,Forest Road Acquisition Corp. II,New York Stock Exchange,
SCVX.UN,SCVX Corp.,New York Stock Exchange,
SLAC.UN,Social Leverage Acquisition Corp I,New York Stock Exchange,
TLGA.UN,TLG Acquisition One Corp.,New York Stock Exchange,
PRBM.UN,Parabellum Acquisition Corp.,New York Stock Exchange,
SOAC.UN,Sustainable Opportunities Acquisition Corp.,New York Stock Exchange,
SPFR.UN,Jaws Spitfire Acquisition Corporation,New York Stock Exchange,
HHLA.UN,HH&L Acquisition Co.,New York Stock Exchange,
STET.UN,ST Energy Transition I Ltd.,New York Stock Exchange,
GSQD.UN,G Squared Ascend I Inc.,New York Stock Exchange,
ATEK.UN,Athena Technology Acquisition Corp. II,New York Stock Exchange,
CXAC.UN,C5 Acquisition Corporation,New York Stock Exchange,
RCFA.UN,RCF Acquisition Corp.,New York Stock Exchange,
IFIN.UN,InFinT Acquisition Corporation,New York Stock Exchange,
GSAH.UN,GS Acquisition Holdings Corp II,New York Stock Exchange,
LCW.UN,Learn CW Investment Corporation,New York Stock Exchange,
NSTD.UN,Northern Star Investment Corp. IV,New York Stock Exchange,
TRCA.UN,Twin Ridge Capital Acquisition Corp.,New York Stock Exchange,
AAC.UN,Ares Acquisition Corporation,New York Stock Exchange,
NSTB.UN,Northern Star Investment Corp. II,New York Stock Exchange,
CPUH.UN,Compute Health Acquisition Corp.,New York Stock Exchange,
CLIM.UN,Climate Real Impact Solutions II Acquisition Corporation,New York Stock Exchange,
RICE.UN,Rice Acquisition Corp.,New York Stock Exchange,
PHYT.UN,Pyrophyte Acquisition Corp.,New York Stock Exchange,
GSQB.UN,G Squared Ascend II Inc.,New York Stock Exchange,
FCAX.UN,Fortress Capital Acquisition Corp.,New York Stock Exchange,
WEL.UN,Integrated Wellness Acquisition Corp,New York Stock Exchange,
FZT.UN,FAST Acquisition Corp. II,New York Stock Exchange,
GIA.UN,"GigCapital5, Inc.",New York Stock Exchange,
JWSM.UN,Jaws Mustang Acquisition Corporation,New York Stock Exchange,
ADEX.UN,Adit EdTech Acquisition Corp.,New York Stock Exchange,
GAPA.UN,G&P Acquisition Corp.,New York Stock Exchange,
TPGH.UN,"Accel Entertainment, Inc.",New York Stock Exchange,
SMU.UN.TO,Summit Industrial Income REIT,Toronto Stock Exchange,
CND.UN,Concord Acquisition Corp,New York Stock Exchange,
PMB.UN.TO,Picton Mahoney Tactical Income Fund,Toronto Stock Exchange,
RRAC.UN,Rigel Resource Acquisition Corp.,New York Stock Exchange,
EVE.UN,EVe Mobility Acquisition Corp,New York Stock Exchange,
BGSX.UN,Build Acquisition Corp.,New York Stock Exchange,
GNPK.UN,Genesis Park Acquisition Corp.,New York Stock Exchange,
BPY.UN.TO,Brookfield Property Partners L.P.,Toronto Stock Exchange,
BLUA.UN,BlueRiver Acquisition Corp.,New York Stock Exchange,
ACR.UN.TO,Agellan Commercial REIT,Toronto Stock Exchange,
FTEV.UN,FinTech Evolution Acquisition Group,New York Stock Exchange,
MNTN.UN,Everest Consolidator Acquisition Corporation,New York Stock Exchange,
SEDA.UN,SDCL EDGE Acquisition Corporation,New York Stock Exchange,
SPAQ.UN,Spartan Acquisition Corp. III,New York Stock Exchange,
VCXB.UN,10X Capital Venture Acquisition Corp. III,New York Stock Exchange,
FVT.UN,Fortress Value Acquisition Corp. III,New York Stock Exchange,
KWAC.UN,Kingswood Acquisition Corp.,New York Stock Exchange,
AW.UN.TO,A&W Revenue Royalties Income Fund,Toronto Stock Exchange,
OPA.UN,Magnum Opus Acquisition Limited,New York Stock Exchange,
MFR.UN.TO,Manulife Floating Rate Senior Loan Fund,Toronto Stock Exchange,
ESM.UN,ESM Acquisition Corporation,New York Stock Exchange,
TRAQ.UN,Trine II Acquisition Corp.,New York Stock Exchange,
BRD.UN,Beard Energy Transition Acquisition Corp.,New York Stock Exchange,
BACA.UN,Berenson Acquisition Corp. I,New York Stock Exchange,
CNDA.UN,Concord Acquisition Corp II,New York Stock Exchange,
MBSC.UN,M3-Brigade Acquisition III Corp.,New York Stock Exchange,
PRPB.UN,CC Neuberger Principal Holdings II,New York Stock Exchange,
RJAC.UN,Jackson Acquisition Company,New York Stock Exchange,
SBII.UN,Sandbridge X2 Corp.,New York Stock Exchange,
SHAP.UN,Spree Acquisition Corp. 1 Limited,New York Stock Exchange,
WNNR.UN,Andretti Acquisition Corp.,New York Stock Exchange,
TRIS.UN,Tristar Acquisition I Corp.,New York Stock Exchange,
PDOT.UN,Peridot Acquisition Corp. II,New York Stock Exchange,
SPNV.UN,"Supernova Partners Acquisition Company, Inc.",New York Stock Exchange,
BYN.UN,Banyan Acquisition Corporation,New York Stock Exchange,
CLAS.UN,Class Acceleration Corp.,New York Stock Exchange,
CRU.UN,Crucible Acquisition Corporation,New York Stock Exchange,
RIB.UN.TO,Ridgewood Canadian Investment Grade Bond Fund,Toronto Stock Exchange,
ICNC.UN,Iconic Sports Acquisition Corp.,New York Stock Exchange,
TWNI.UN,Tailwind International Acquisition Corp.,New York Stock Exchange,
EQD.UN,Equity Distribution Acquisition Corp.,New York Stock Exchange,
CNDB.UN,Concord Acquisition Corp III,New York Stock Exchange,
JATT.UN,JATT Acquisition Corp,New York Stock Exchange,
FLYA.UN,SOAR Technology Acquisition Corp.,New York Stock Exchange,
SUAC.UN,ShoulderUp Technology Acquisition Corp.,New York Stock Exchange,
HTAQ.UN,Hunt Companies Acquisition Corp. I,New York Stock Exchange,
IIAC.UN,Zegna,New York Stock Exchange,
MR.UN.TO,Melcor Real Estate Investment Trust,Toronto Stock Exchange,
BFAC.UN,Battery Future Acquisition Corp.,New York Stock Exchange,
ATA.UN,Americas Technology Acquisition Corp.,New York Stock Exchange,
CVII.UN,Churchill Capital Corp VII,New York Stock Exchange,
IPOF.UN,Social Capital Hedosophia Holdings Corp. VI,New York Stock Exchange,
